"id","user_id","cluster_manager_id","manager_id","property_id","block_id","floor_id","room_id","bed_id","tenant_id","booking_category","expected_date_move_in","stay_tenure","status","create_date","checkout_date","move_in_date"
"445","1177","58","0","40","0","165","914","1875","1370","instant-booking","","12","1","2018-06-29","","2018-06-29"
"446","645","645","656","44","0","175","970","1960","1168","instant-booking","","11","1","2018-06-29","","2018-06-15"
"447","1177","58","0","3","0","8","72","146","1371","instant-booking","","12","1","2018-06-29","","2018-06-29"
"448","645","645","656","44","0","178","992","1998","1257","instant-booking","","11","0","2018-06-29","2018-07-02","2018-06-12"
"449","1177","58","0","3","0","92","1973","1497","1372","instant-booking","","12","1","2018-06-29","","2018-06-29"
"450","645","645","656","44","0","178","991","1996","1243","pre-booking","2018-06-02","11","0","2018-06-29","2018-07-02","2018-07-02"
"451","645","645","656","44","0","178","988","1991","1249","pre-booking","2018-06-07","11","0","2018-06-29","2018-07-02",""
"452","1788","647","648","47","0","188","1029","2078","1373","pre-booking","2018-06-01","12","3","2018-07-18","",""
"453","645","645","656","44","0","176","976","1971","1175","pre-booking","2018-07-01","11","0","2018-06-29","2018-07-02",""
"454","645","645","656","44","0","175","971","1963","1197","pre-booking","2018-06-01","11","0","2018-06-29","2018-07-02",""
"455","645","645","656","44","0","178","991","1997","1170","pre-booking","2018-07-18","11","3","2018-07-13","",""
"456","645","645","656","44","0","177","982","1980","1256","pre-booking","","11","3","2018-06-29","",""
"457","656","950","1078","68","0","257","1392","3997","1308","pre-booking","2018-07-20","11","3","2018-07-13","",""
"458","656","950","1078","68","0","257","1393","4001","1350","pre-booking","2018-07-18","11","3","2018-07-13","",""
"459","656","950","1078","68","0","258","1398","4015","1155","pre-booking","2018-07-22","11","3","2018-07-13","",""
"460","950","950","1078","68","0","258","1400","4020","1297","","","11","0","2018-06-29","2018-07-04",""
"461","950","950","1078","68","0","258","1400","4021","1295","","","11","0","2018-06-29","2018-07-04",""
"462","656","950","1078","68","0","258","1403","4027","1334","pre-booking","2018-07-19","11","3","2018-07-13","",""
"463","656","950","1078","68","0","258","1403","4028","1367","pre-booking","2018-07-19","11","3","2018-07-13","",""
"464","654","644","654","51","0","205","1120","2173","1374","instant-booking","","2","1","2018-06-29","","2018-06-29"
"465","950","950","1078","68","0","257","1394","4003","1376","","","11","3","2018-06-29","",""
"466","1080","953","1080","54","0","216","1180","2344","1266","instant-booking","","6","1","2018-06-29","","2018-06-29"
"467","950","950","1078","68","0","257","1392","3998","1378","","","11","3","2018-06-29","",""
"468","642","651","0","50","0","201","1105","2143","1380","pre-booking","2018-07-20","11","1","2018-07-03","","2018-07-22"
"469","642","651","0","22","0","90","575","1130","1381","instant-booking","","11","1","2018-07-04","","2018-07-04"
"470","642","953","1080","54","0","217","1184","2351","1382","instant-booking","","3","1","2018-07-04","","2018-07-04"
"471","1788","647","648","47","0","187","1023","2067","1383","pre-booking","2018-07-09","12","3","2018-07-18","","2018-07-09"
"472","656","950","1078","68","0","257","1393","3999","1384","pre-booking","2018-07-19","11","3","2018-07-13","",""
"473","720","644","720","60","0","237","1333","2655","1385","instant-booking","","2","1","2018-06-30","","2018-06-30"
"474","656","950","1078","68","0","257","1396","4008","1387","pre-booking","2018-07-18","11","3","2018-07-13","",""
"475","950","950","1078","68","0","258","1397","4013","1388","","","11","3","2018-06-29","",""
"476","654","644","654","51","0","204","1117","2167","1391","instant-booking","","3","1","2018-06-29","","2018-06-29"
"477","644","644","654","51","0","204","1117","2166","1021","instant-booking","","6","1","2018-06-30","","2018-06-30"
"478","654","644","654","51","0","206","1128","2189","844","","","3","0","2018-06-29","2018-07-12",""
"479","953","953","0","59","0","241","1348","2608","1392","pre-booking","2018-07-15","11","3","2018-06-29","",""
"480","654","644","654","51","0","208","1142","2218","1393","instant-booking","","1","0","2018-06-29","2018-07-12","2018-06-29"
"481","654","644","654","51","0","207","1135","2202","1395","instant-booking","","5","1","2018-06-29","","2018-05-18"
"482","651","651","0","22","0","90","579","1138","1394","pre-booking","2018-07-19","11","3","2018-07-23","",""
"483","654","644","654","51","0","208","1142","2217","1396","","","1","0","2018-06-29","2018-07-12","2018-06-01"
"484","512","512","75","7","0","27","242","445","1397","pre-booking","2018-07-22","12","0","2018-06-29","2018-07-22",""
"485","654","644","654","51","0","207","1134","2200","1398","instant-booking","","4","1","2018-06-29","","2018-05-21"
"486","953","953","0","43","0","233","1270","4402","1399","pre-booking","2018-07-18","11","3","2018-07-22","",""
"487","953","953","0","59","0","340","1997","4155","1400","instant-booking","","11","1","2018-06-29","","2018-06-29"
"488","953","953","0","59","0","340","1997","4156","1401","instant-booking","","11","1","2018-06-29","","2018-06-29"
"489","642","651","0","22","0","89","543","1096","1402","instant-booking","","11","1","2018-06-29","","2018-06-29"
"490","656","950","1033","57","0","224","1223","2427","704","pre-booking","2018-07-01","11","3","2018-07-02","",""
"491","1177","512","0","75","0","289","1719","3399","1342","instant-booking","","12","1","2018-06-30","","2018-06-30"
"492","642","953","0","59","0","339","1994","4149","1403","pre-booking","2018-07-18","11","3","2018-06-30","",""
"493","1033","950","1033","57","0","224","1221","2424","1045","pre-booking","","11","0","2018-06-30","2018-07-16","2018-06-15"
"494","1033","950","1033","57","0","223","1213","2408","696","pre-booking","2018-07-01","2","3","2018-07-16","","2018-07-01"
"495","1788","647","648","47","0","188","1028","2076","1405","pre-booking","2018-07-01","12","1","2018-07-18","","2018-07-21"
"496","647","647","648","35","0","149","833","1648","1406","pre-booking","2018-07-02","12","3","2018-06-30","",""
"497","1177","58","0","14","0","64","480","2887","1407","pre-booking","","12","3","2018-06-30","",""
"498","1788","647","648","47","0","187","1026","2073","1408","pre-booking","2018-07-09","12","1","2018-07-18","","2018-07-21"
"499","1788","647","648","47","0","187","1023","2066","1409","instant-booking","","12","1","2018-07-18","","2018-07-18"
"500","1177","512","3","1","0","346","2027","4219","1410","instant-booking","","12","1","2018-06-30","","2018-06-30"
"501","1033","645","656","57","0","226","1235","2474","1043","instant-booking","","1","1","2018-07-18","","2018-07-18"
"502","656","645","656","57","0","224","1226","2433","1039","instant-booking","","11","1","2018-06-30","","2018-06-21"
"503","656","645","656","57","0","226","1237","2478","1046","instant-booking","","2","0","2018-06-30","2018-07-12","2018-06-01"
"504","656","645","656","57","0","225","1228","2459","723","","","2","3","2018-06-30","",""
"505","1033","645","656","57","0","225","1228","2460","715","instant-booking","","4","1","2018-07-16","","2018-07-01"
"506","656","645","656","57","0","223","1213","2407","718","","","2","0","2018-06-30","2018-07-02",""
"507","656","645","656","57","0","224","1220","2422","711","","","1","0","2018-06-30","2018-07-02",""
"508","656","645","656","57","0","226","1236","2475","700","","","6","3","2018-06-30","",""
"509","656","645","656","53","0","213","1162","2284","1136","pre-booking","","6","3","2018-06-30","",""
"510","61","512","81","11","0","46","376","719","336","pre-booking","05-07-2018","12","3","2018-06-30","",""
"511","645","645","656","53","0","213","1160","2280","1134","pre-booking","2018-07-18","8","3","2018-07-14","",""
"512","656","645","656","76","0","293","1738","3440","1363","pre-booking","","11","0","2018-06-30","2018-07-03",""
"513","656","645","656","79","0","297","1770","3507","1358","pre-booking","","11","0","2018-06-30","2018-06-30",""
"514","656","645","656","64","0","243","1352","2689","1040","pre-booking","","11","0","2018-06-30","2018-07-04",""
"515","656","645","656","64","0","243","1352","2689","1040","pre-booking","","11","0","2018-06-30","2018-07-04",""
"516","656","645","656","79","0","298","1776","3524","1359","","","11","3","2018-07-03","",""
"517","656","645","656","76","0","293","1739","3441","1365","pre-booking","","11","0","2018-06-30","2018-07-03",""
"518","656","645","656","79","0","297","1771","3511","1364","","","11","3","2018-07-03","",""
"519","645","645","656","76","0","294","1747","3458","1386","pre-booking","2018-07-12","11","3","2018-07-01","",""
"520","656","645","656","69","0","260","1405","2796","1219","","","11","3","2018-06-30","",""
"521","656","645","656","69","0","260","1405","2797","1220","pre-booking","","8","3","2018-06-30","",""
"522","656","645","656","53","0","213","1162","2285","1139","pre-booking","","12","0","2018-06-30","2018-07-13",""
"523","656","645","656","65","0","247","1371","2736","1355","","","11","0","2018-06-30","2018-07-06",""
"524","656","645","656","69","0","260","1406","2798","1222","pre-booking","","11","3","2018-06-30","",""
"525","656","645","656","57","0","224","1222","2425","836","","","1","3","2018-07-04","",""
"526","656","645","656","69","0","260","1406","2799","1223","pre-booking","","11","3","2018-06-30","",""
"527","656","645","656","58","0","227","1241","2435","1070","","","11","0","2018-06-30","2018-07-02",""
"528","656","645","656","69","0","260","1406","2800","1226","pre-booking","","11","3","2018-06-30","",""
"529","656","645","656","64","0","243","1353","2692","1209","pre-booking","","11","0","2018-06-30","2018-07-04",""
"530","656","645","656","69","0","260","1407","2801","1227","pre-booking","","11","3","2018-06-30","",""
"531","656","645","656","69","0","260","1407","2802","1227","pre-booking","","11","3","2018-06-30","",""
"532","1033","645","656","57","0","226","1238","2479","1412","instant-booking","","3","1","2018-07-16","","2018-07-01"
"533","656","645","656","64","0","243","1353","2693","1213","pre-booking","","11","0","2018-06-30","2018-07-04",""
"534","656","645","656","64","0","243","1353","2693","1213","pre-booking","","11","0","2018-06-30","2018-07-04",""
"535","656","645","656","69","0","260","1408","2803","1229","pre-booking","","11","3","2018-06-30","",""
"536","647","647","648","35","0","149","842","1703","1411","","","12","3","2018-06-30","","2018-07-02"
"537","656","645","656","69","0","260","1408","2804","1233","pre-booking","","11","3","2018-06-30","",""
"538","1273","645","656","57","0","226","1235","2473","1047","pre-booking","2018-07-01","3","3","2018-07-18","",""
"539","656","645","656","69","0","261","1409","2806","1234","pre-booking","","11","3","2018-06-30","",""
"540","656","645","656","57","0","223","1216","2413","1048","","","1","0","2018-06-30","2018-07-02",""
"541","656","645","656","69","0","261","1410","2807","1236","pre-booking","","11","3","2018-06-30","",""
"542","656","645","656","53","0","214","1168","2300","1134","","","11","3","2018-06-30","",""
"543","645","645","656","64","0","243","1352","2690","1213","pre-booking","","11","0","2018-07-04","2018-07-04",""
"544","656","645","656","64","0","243","1353","2694","1218","","","11","0","2018-06-30","2018-07-04",""
