"id","property_id","user_id","page_name","updated_date"
"1307","22","651","floor","2018-07-15 18:57:38"
"1308","22","651","room","2018-07-15 19:01:01"
"1309","22","651","bed","2018-07-15 19:02:33"
"1310","43","953","floor","2018-07-15 20:05:23"
"1311","43","953","floor","2018-07-15 20:09:39"
"1312","43","953","room","2018-07-15 20:15:45"
"1313","43","953","bed","2018-07-15 20:35:03"
"1314","57","1","detail","2018-07-16 11:55:04"
"1315","57","1273","detail","2018-07-16 11:55:19"
"1316","57","1033","bed","2018-07-16 12:09:08"
"1317","33","604","detail","2018-07-16 12:22:39"
"1318","57","1033","bed","2018-07-16 12:23:02"
"1319","70","604","detail","2018-07-16 12:41:50"
"1320","3","604","detail","2018-07-16 12:42:13"
"1321","41","604","detail","2018-07-16 12:42:41"
"1322","40","604","detail","2018-07-16 12:43:26"
"1323","18","604","detail","2018-07-16 12:43:58"
"1324","73","604","detail","2018-07-16 12:44:36"
"1325","22","651","room","2018-07-16 12:57:18"
"1326","22","651","bed","2018-07-16 13:01:47"
"1327","72","604","detail","2018-07-16 13:54:08"
"1328","64","645","bed","2018-07-16 18:34:27"
"1329","66","872","room","2018-07-16 19:10:06"
"1330","66","872","bed","2018-07-16 19:12:31"
"1331","31","896","floor","2018-07-17 12:44:13"
"1332","31","896","floor","2018-07-17 12:44:41"
"1333","31","896","room","2018-07-17 12:44:50"
"1334","31","896","bed","2018-07-17 12:46:00"
"1335","31","896","bed","2018-07-17 12:46:16"
"1336","31","896","bed","2018-07-17 12:46:54"
"1337","50","604","detail","2018-07-17 12:52:35"
"1338","69","604","detail","2018-07-17 12:53:10"
"1339","53","604","detail","2018-07-17 12:53:26"
"1340","79","604","detail","2018-07-17 12:59:49"
"1341","57","604","detail","2018-07-17 13:05:57"
"1342","64","604","detail","2018-07-17 13:06:13"
"1343","44","604","localtity","2018-07-17 13:06:21"
"1344","44","604","detail","2018-07-17 13:06:26"
"1345","68","604","detail","2018-07-17 13:08:53"
"1346","74","61","bed","2018-07-17 13:53:25"
"1347","65","645","localtity","2018-07-17 16:35:23"
"1348","65","645","detail","2018-07-17 16:35:30"
"1349","65","645","floor","2018-07-17 16:35:43"
"1350","65","645","room","2018-07-17 16:35:54"
"1351","65","645","bed","2018-07-17 16:36:40"
"1352","65","645","gallery","2018-07-17 16:36:45"
"1353","65","645","amenities","2018-07-17 16:37:03"
"1354","22","651","bed","2018-07-18 09:43:58"
"1355","22","651","room","2018-07-18 09:49:21"
"1356","22","651","bed","2018-07-18 09:53:20"
"1357","69","604","detail","2018-07-18 11:23:09"
"1358","69","604","detail","2018-07-18 11:28:51"
"1359","36","871","bed","2018-07-18 12:59:37"
"1360","36","871","gallery","2018-07-18 12:59:55"
"1361","36","871","amenities","2018-07-18 13:00:02"
"1362","36","871","bed","2018-07-18 13:13:30"
"1363","36","871","gallery","2018-07-18 13:13:35"
"1364","36","871","amenities","2018-07-18 13:13:42"
"1365","36","871","localtity","2018-07-18 13:15:41"
"1366","36","871","detail","2018-07-18 13:15:47"
"1367","36","871","floor","2018-07-18 13:16:00"
"1368","36","871","bed","2018-07-18 13:18:59"
"1369","36","871","gallery","2018-07-18 13:19:03"
"1370","36","871","amenities","2018-07-18 13:19:08"
"1371","37","602","bed","2018-07-18 14:43:59"
"1372","37","602","bed","2018-07-18 14:52:16"
"1373","37","602","amenities","2018-07-18 15:02:15"
"1374","36","602","amenities","2018-07-18 15:06:02"
"1375","62","645","localtity","2018-07-18 15:31:25"
"1376","62","645","detail","2018-07-18 15:31:28"
"1377","62","645","floor","2018-07-18 15:31:33"
"1378","62","645","room","2018-07-18 15:31:44"
"1379","62","645","bed","2018-07-18 15:32:04"
"1380","62","645","bed","2018-07-18 15:33:26"
"1381","62","645","gallery","2018-07-18 15:33:28"
"1382","62","645","amenities","2018-07-18 15:33:32"
"1383","52","816","bed","2018-07-18 16:49:47"
"1384","76","645","localtity","2018-07-18 18:03:20"
"1385","76","645","detail","2018-07-18 18:03:22"
"1386","76","645","detail","2018-07-18 18:03:22"
"1387","76","645","floor","2018-07-18 18:03:26"
"1388","76","645","room","2018-07-18 18:03:33"
"1389","76","645","bed","2018-07-18 18:03:53"
"1390","76","645","gallery","2018-07-18 18:03:55"
"1391","76","645","amenities","2018-07-18 18:03:59"
"1392","66","872","floor","2018-07-18 19:59:24"
"1393","66","872","room","2018-07-18 20:00:20"
"1394","66","872","bed","2018-07-18 20:14:58"
"1395","40","604","detail","2018-07-19 11:45:01"
"1396","38","604","detail","2018-07-19 11:45:24"
"1397","86","1","localtity","2018-07-19 13:14:18"
"1398","86","1","detail","2018-07-19 13:14:21"
"1399","86","1","floor","2018-07-19 13:14:23"
"1400","86","1","room","2018-07-19 13:14:28"
"1401","86","1","bed","2018-07-19 13:14:33"
"1402","86","1","gallery","2018-07-19 13:14:39"
"1403","86","1","gallery","2018-07-19 13:15:14"
"1404","86","1","gallery","2018-07-19 13:15:33"
"1405","86","1","vrgallery","2018-07-19 13:15:50"
"1406","50","642","bed","2018-07-21 15:52:47"
"1407","50","642","bed","2018-07-21 15:57:33"
"1408","50","642","bed","2018-07-21 15:58:17"
"1409","50","1314","bed","2018-07-21 16:23:01"
"1410","54","1273","bed","2018-07-21 16:23:35"
"1411","50","1314","bed","2018-07-21 16:25:13"
"1412","54","1273","bed","2018-07-21 16:40:22"
"1413","22","651","bed","2018-07-22 16:58:00"
