"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"118","3","58","0","416","167","pre-booking","","half-yearly","","","0","0","192000","167500","197500","30000","2018-06-20","0"
"119","3","58","0","54","168","pre-booking","","half-yearly","","","0","0","192000","137500","197500","60000","2018-06-20","1"
"120","3","58","0","399","169","pre-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","1"
"121","3","58","0","415","171","pre-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","1"
"122","3","58","0","397","172","pre-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","1"
"123","3","58","0","392","174","pre-booking","","half-yearly","","","0","0","192000","197500","197500","0","2018-06-20","1"
"124","35","647","963","1011","1641","instant-booking","","monthly","","","5500 ","300 ","69600","52850","70100","17250","2018-06-20","1"
"125","3","58","0","51","179","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","1"
"126","3","58","0","400","181","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","0"
"127","3","58","0","53","183","pre-booking","","half-yearly","","","0","0","180000","185500","185500","0","2018-06-20","1"
"128","35","647","963","1012","1642","instant-booking","","monthly","","","5500 ","300 ","69600","58350","70100","11750","2018-06-20","1"
"129","51","644","654","1008","2201","instant-booking","","monthly","","","22865","18000","150000","63000","63000","0","2018-06-20","1"
"130","26","650","649","1013","1293","pre-booking","","monthly","","","17000","0","90000","28000","46000","18000","2018-06-20","1"
"131","26","650","649","890","1296","pre-booking","","monthly","","","0","0","78000","39500","39500","0","2018-06-20","1"
"132","26","650","649","891","1297","pre-booking","","monthly","","","0","0","78000","39500","39500","0","2018-06-20","1"
"133","35","647","963","1014","1643","instant-booking","","monthly","","","5500","300 ","69600","41350","70100","28750","2018-06-20","1"
"134","35","647","963","1015","1649","pre-booking","","monthly","","","0","0","69600","69600","71600","2000","2018-06-20","1"
